Open,Close,High,Low,Volume,RSI14,SMA14,EMA14,MACD_sl,MACD_h
110.35,114.82,115.63,110.13,7034193.0,56.33,106.18,109.75,-6.92,2.08
118.8,114.94,119.57,114.87,5595329.0,59.25,106.99,110.44,-6.34,2.31
116.31,119.29,119.96,115.07,5158641.0,65.11,108.34,111.62,-5.68,2.66
120.48,121.5,122.92,120.17,5576815.0,71.77,110.21,112.94,-4.94,2.94
121.63,121.15,121.8,118.04,5119713.0,72.09,112.09,114.04,-4.2,2.98
123.46,123.91,125.18,122.62,5088660.0,67.81,113.41,115.35,-3.43,3.07
119.12,118.69,120.19,116.76,5637341.0,61.34,114.33,115.8,-2.77,2.66
119.01,115.73,119.75,114.42,6457556.0,52.7,114.53,115.79,-2.24,2.1
119.3,120.12,120.39,117.92,4965992.0,61.61,115.39,116.37,-1.76,1.94
119.15,120.41,122.86,118.14,8181736.0,57.88,115.93,116.9,-1.32,1.77
114.0,116.76,117.14,112.06,14349032.0,55.94,116.34,116.89,-0.98,1.35
119.87,119.31,120.33,117.55,7087869.0,65.45,117.35,117.21,-0.68,1.19
119.57,121.35,123.03,119.12,6881615.0,63.19,118.17,117.76,-0.39,1.16
122.41,124.72,125.0,120.76,4987346.0,71.5,119.48,118.69,-0.07,1.3
125.56,125.92,126.99,125.47,4923806.0,65.65,120.27,119.65,0.28,1.4
128.03,126.27,128.2,125.38,4778144.0,65.87,121.08,120.54,0.64,1.41
128.88,128.69,129.31,127.53,5257579.0,63.92,121.75,121.62,1.01,1.49
126.52,125.56,127.27,125.22,6635783.0,55.85,122.04,122.15,1.32,1.25
123.19,121.87,123.47,121.39,4925535.0,50.95,122.09,122.11,1.52,0.79
120.82,121.68,121.97,119.39,4017877.0,46.85,121.93,122.05,1.62,0.43
123.39,122.58,124.32,122.47,3899416.0,56.25,122.21,122.12,1.68,0.23
123.24,123.17,124.05,122.41,3864589.0,62.93,122.74,122.26,1.71,0.11
122.98,121.23,123.26,120.85,4414328.0,52.11,122.82,122.13,1.68,-0.11
122.67,122.99,123.23,121.06,5003939.0,54.64,123.01,122.24,1.65,-0.14
121.81,122.59,123.45,120.67,3535276.0,61.88,123.42,122.29,1.6,-0.2
123.01,120.26,124.32,120.26,4784457.0,51.95,123.49,122.02,1.5,-0.38
119.95,115.73,119.99,114.85,5882813.0,39.51,123.09,121.18,1.3,-0.78
114.57,116.95,117.09,111.81,5259373.0,34.24,122.53,120.61,1.07,-0.93
115.93,116.98,117.39,115.25,4786330.0,30.96,121.9,120.13,0.83,-0.98
119.88,121.56,122.36,119.75,4207593.0,41.5,121.56,120.32,0.66,-0.67
121.19,120.29,122.17,120.14,3241117.0,34.19,120.96,120.32,0.53,-0.53
120.93,121.38,122.47,120.6,3840858.0,41.48,120.66,120.46,0.44,-0.35
120.99,119.12,121.72,118.97,4000863.0,44.05,120.46,120.28,0.35,-0.37
119.37,118.39,119.47,117.59,4180771.0,43.04,120.23,120.03,0.24,-0.41
121.3,121.76,122.62,121.01,5469282.0,48.43,120.17,120.26,0.19,-0.2
123.94,125.54,125.83,123.47,5727496.0,54.05,120.34,120.96,0.24,0.18
126.87,124.53,126.97,124.22,3916377.0,55.82,120.58,121.44,0.32,0.34
123.67,124.9,125.13,122.24,7930467.0,53.54,120.71,121.9,0.44,0.45
124.64,124.89,125.75,124.03,2883294.0,54.33,120.88,122.3,0.56,0.48
125.67,126.0,126.0,124.66,2978056.0,61.32,121.29,122.79,0.69,0.55
127.15,129.05,129.59,127.0,3917746.0,77.89,122.24,123.63,0.88,0.75
127.78,128.89,128.95,127.02,3864785.0,76.16,123.09,124.33,1.08,0.82
133.88,132.06,134.23,131.75,5892960.0,79.04,124.17,125.36,1.34,1.01
132.27,135.75,135.88,132.27,5370469.0,78.3,125.18,126.74,1.66,1.3
133.52,131.87,133.6,131.02,5393644.0,70.92,126.01,127.43,1.95,1.15
132.15,129.87,132.23,129.8,4734835.0,64.85,126.62,127.75,2.16,0.85
